winerim_id,format,expected_product_id,winerim_name,wine_type,bottle_sale_price,magnum_sale_price,agora_status,agora_name,agora_family_id,agora_family_name,family_visible,use_as_direct_sale,saleable_as_main,visibility_status
272892,BOTTLE,772892,Sarmentero Gran Reserva 26 Meses,tinto,40.8,,PRESENT_SALEABLE,B Sarmentero Gran Reserva 26 Meses,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272872,BOTTLE,772872,Finca Les Lleres,blanco,35.6,,PRESENT_SALEABLE,B Finca Les Lleres,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272893,BOTTLE,772893,Sarmentero Vendimia Seleccionada,tinto,28.9,,PRESENT_SALEABLE,B Sarmentero Vendimia Seleccionada,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272873,BOTTLE,772873,Ginesta,blanco,30.8,,PRESENT_SALEABLE,B Ginesta,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272896,BOTTLE,772896,Spy Valley Pinot Noir,tinto,38.5,,PRESENT_SALEABLE,B Spy Valley Pinot Noir,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272898,BOTTLE,772898,Tarima Hill Old Vines Monastrell,tinto,21.0,,PRESENT_SALEABLE,B Tarima Hill Old Vines Monastrell,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272878,BOTTLE,772878,Lawson's Dry Hills Sauvignon Blanc,blanco,29.0,,PRESENT_SALEABLE,B Lawson's Dry Hills Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272903,BOTTLE,772903,Triga,tinto,39.5,,PRESENT_SALEABLE,B Triga,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272880,BOTTLE,772880,Lienzo Selección Airén Pie Franco,blanco,19.1,,PRESENT_SALEABLE,B Lienzo Selección Airén Pie Franco,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272904,BOTTLE,772904,Volver Cuvée Rafael Cañizares,tinto,33.0,,PRESENT_SALEABLE,B Volver Cuvée Rafael Cañizares,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272881,BOTTLE,772881,Lirondo,blanco,25.0,,PRESENT_SALEABLE,B Lirondo,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272883,BOTTLE,772883,Majuelo del Chiviritero La Seca,blanco,32.8,,PRESENT_SALEABLE,B Majuelo del Chiviritero La Seca,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277100,BOTTLE,777100,Finca Martelo Reserva,tinto,35.0,,MISSING,,,,False,False,False,MISSING
272886,BOTTLE,772886,Paul Cluver Riesling,blanco,29.7,,PRESENT_SALEABLE,B Paul Cluver Riesling,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277125,BOTTLE,777125,Regina Vides,tinto,99.0,,PRESENT_SALEABLE,B Regina Vides,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272889,BOTTLE,772889,Kiedrich Klosterberg Riesling Trocken,blanco,48.3,,PRESENT_SALEABLE,B Kiedrich Klosterberg Riesling Trocken,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277133,BOTTLE,777133,Château Cristi Pinot Noir,tinto,44.0,,PRESENT_SALEABLE,B Château Cristi Pinot Noir,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272891,BOTTLE,772891,San Salvador,blanco,33.0,68.0,PRESENT_SALEABLE,B San Salvador,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272891,MAGNUM,1172891,San Salvador,blanco,33.0,68.0,PRESENT_SALEABLE,M San Salvador,904289,MAGNUM WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277138,MAGNUM,1177138,Single Vineyard,tinto,,40.0,PRESENT_SALEABLE,M Single Vineyard,904289,MAGNUM WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272902,BOTTLE,772902,Triga Chardonnay Fermentado en Barrica,blanco,29.8,,PRESENT_SALEABLE,B Triga Chardonnay Fermentado en Barrica,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277141,BOTTLE,777141,Majuelo El Espejo la Seca,tinto,43.0,,PRESENT_SALEABLE,B Majuelo El Espejo la Seca,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277148,BOTTLE,777148,Luis XIV Ánforas,tinto,26.0,,MISSING,,,,False,False,False,MISSING
275433,BOTTLE,775433,Forster Pechstein Riesling GG Dry,blanco,44.5,,PRESENT_SALEABLE,B Forster Pechstein Riesling GG Dry,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
275753,BOTTLE,775753,Château Cristi Chardonnay,blanco,54.5,,MISSING,,,,False,False,False,MISSING
277203,BOTTLE,777203,Sarmentero Roble,tinto,24.0,,PRESENT_SALEABLE,B Sarmentero Roble,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277238,BOTTLE,777238,6º Elemento,tinto,32.0,,PRESENT_SALEABLE,B 6º Elemento 238,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277139,BOTTLE,777139,Meridiano Perdido,blanco,25.0,,PRESENT_SALEABLE,B Meridiano Perdido,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277143,BOTTLE,777143,Biu Blanc,blanco,28.0,,MISSING,,,,False,False,False,MISSING
277144,BOTTLE,777144,Private Collection Chardonnay,blanco,39.0,,MISSING,,,,False,False,False,MISSING
277146,BOTTLE,777146,Lawson's Dry Hills Riesling,blanco,32.0,,MISSING,,,,False,False,False,MISSING
277149,BOTTLE,777149,Chablis 1er Cru 'Fourchaume',blanco,68.0,,MISSING,,,,False,False,False,MISSING
277151,BOTTLE,777151,Chablis 1er Cru 'Vaulorent',blanco,70.0,,MISSING,,,,False,False,False,MISSING
277153,BOTTLE,777153,Malagousia,blanco,38.5,,MISSING,,,,False,False,False,MISSING
277154,BOTTLE,777154,Lawson's Dry Hills Gewürztraminer,blanco,36.0,,MISSING,,,,False,False,False,MISSING
277161,BOTTLE,777161,Tarima Blanco,blanco,24.0,,PRESENT_SALEABLE,B Tarima Blanco,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277234,BOTTLE,777234,Lienzo Chardonnay Fermentado en Barrica,blanco,26.0,,PRESENT_SALEABLE,B Lienzo Chardonnay Fermentado en Barrica,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
