legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
189,VIÑA SARA,EXTREMADURA,NO_MATCH,67,FUZZY,764522,B Viña Alberdi,TINTOS WINERIM,0
192,ANTONIN RODET,FRANÇA,NO_MATCH,0,,,,,0
194,CAHTEAU PAVEIL LUZE,FRANÇA,NO_MATCH,0,,,,,0
201,CHATEAU CAIX,FRANÇA,NO_MATCH,0,,,,,0
196,CHATEAU CANTENAC BROWN,FRANÇA,NO_MATCH,0,,,,,0
200,CHATEAU CHAMBERT,FRANÇA,NO_MATCH,0,,,,,0
199,CHATEAU HAUT PIRAGUEY,FRANÇA,NO_MATCH,0,,,,,0
197,CHATEAU LAFITE ROTHSCHILD,FRANÇA,NO_MATCH,0,,,,,0
198,CHATEAU LAGREZETTE,FRANÇA,NO_MATCH,0,,,,,0
193,CHATEAU MOLLERET,FRANÇA,NO_MATCH,0,,,,,0
191,COUVENT DES JACOBINS,FRANÇA,NO_MATCH,0,,,,,0
195,LOUIS LATOUR,FRANÇA,NO_MATCH,0,,,,,0
190,MOUTON CADET,FRANÇA,NO_MATCH,0,,,,,0
185,SEÑORIO DE NEVADA,GRANADA,NO_MATCH,0,,,,,0
204,SANTINO,GRECIA,NO_MATCH,0,,,,,0
203,BARBARESCO,ITALIA,NO_MATCH,62,FUZZY,764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,0
202,NEBBIOLO,ITALIA,NO_MATCH,0,,,,,0
34,ACUSTIC,MONTSANT,MATCH,100,EXACT,763427,B Acústic,TINTOS WINERIM,0
35,BRUNUS,MONTSANT,MATCH,100,EXACT,763428,B Brunus,TINTOS WINERIM,0
42,DIDO,MONTSANT,NO_MATCH,0,,,,,0
38,EL PISPA,MONTSANT,MATCH,100,EXACT,763601,B El Pispa,TINTOS WINERIM,0
39,ETIM,MONTSANT,NO_MATCH,67,FUZZY,763418,B Destí,TINTOS WINERIM,0
37,KOSHER FLOR DE PRIMAVERA,MONTSANT,NO_MATCH,0,,,,,0
41,LAURONA,MONTSANT,MATCH,100,EXACT,763621,B Laurona,TINTOS WINERIM,0
44,LES COMES D'ORTO,MONTSANT,NO_MATCH,0,,,,,0
45,LES TALLADES,MONTSANT,MATCH,100,EXACT,767286,B Les Tallades,TINTOS WINERIM,0
33,SINDICAT FIGUERA,MONTSANT,MATCH,91,FUZZY,765230,B Sindicat La Figuera,TINTOS WINERIM,0
36,TEIXAR,MONTSANT,MATCH,100,EXACT,763429,B Teixar,TINTOS WINERIM,0
