provider_product_id,provider_product_name,family_name,family_visible,saleable_as_main,match_status,winerim_id,winerim_name,score,method,reasons
1074,B. ABAD DOM BUENO MENCIA,VINOS,False,True,NO_MATCH,277094,Abad Dom Bueno Rosado,60.0,FUZZY,token_similarity
1075,C. MAJUELO EL ESPEJO,VINOS POR COPAS,False,True,NO_MATCH,277141,Majuelo El Espejo la Seca,60.0,FUZZY,token_similarity
1076,C. SARMENTERO GRAN RESERVA,VINOS POR COPAS,False,True,NO_MATCH,272892,Sarmentero Gran Reserva 26 Meses,60.0,FUZZY,token_similarity
1077,Jarra pequeña sake Fuga,SAKE BAR,False,True,NO_MATCH,,,0,,
1078,B. MAJUELO DEL CHIRIVITERO,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,33.3,FUZZY,token_similarity
1081,B. NERO DE SORT,VINOS,False,True,NO_MATCH,272852,Añada de Baladiña,20.0,FUZZY,token_similarity
1082,C. ABAD DOM BUENO MENCIA,VINOS POR COPAS,False,True,NO_MATCH,277094,Abad Dom Bueno Rosado,60.0,FUZZY,token_similarity
1083,C. ALBARIÑO BALADIÑA BARRO,VINOS POR COPAS,False,True,NO_MATCH,272854,Baladiña Barro,66.7,FUZZY,token_similarity
1084,Jarra grande sake Fuga,SAKE BAR,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,10.0,FUZZY,token_similarity
1087,135º East Hyogo dry gin,COPAS,False,True,NO_MATCH,277146,Lawson's Dry Hills Riesling,12.5,FUZZY,token_similarity
1088,C. ALBARIÑO AÑADA DE BALADIÑA,VINOS POR COPAS,False,True,REVIEW,272852,Añada de Baladiña,75.0,FUZZY,token_similarity
1089,B. LA RINCONADA,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,16.7,FUZZY,token_similarity
1090,C. NERO DE SORT,VINOS POR COPAS,False,True,NO_MATCH,272852,Añada de Baladiña,20.0,FUZZY,token_similarity
1091,Jarra pequeña sake Akishika Moto shibori,SAKE BAR,False,True,NO_MATCH,,,0,,
1094,B. LA RASPA TINTO,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,14.3,FUZZY,token_similarity
1095,B. MARIA MERENS GODELLO,VINOS,False,True,NO_MATCH,272847,Abalón Godello,25.0,FUZZY,token_similarity
1096,C. BIU RIESLING,VINOS POR COPAS,False,True,NO_MATCH,277143,Biu Blanc,33.3,FUZZY,token_similarity
1097,C. GINESTA GEWURZTRAMINER,VINOS POR COPAS,False,True,NO_MATCH,272873,Ginesta,50.0,FUZZY,token_similarity
1098,Etsu Sakura Japanese Gin,COPAS,False,True,NO_MATCH,,,0,,
1099,Jarra grande sake Akhishika Moto shibori,SAKE BAR,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,8.3,FUZZY,token_similarity
1101,B. MAGNUM DOMINIO DEL BENDITO LAS SABIAS,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,10.0,FUZZY,token_similarity
1102,C. LA PICONADA,VINOS POR COPAS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,16.7,FUZZY,token_similarity
1103,Etsu Gin The Original,COPAS,False,True,NO_MATCH,,,0,,
1105,Sake chokyu kijoshu 1997,SAKE BAR,False,True,NO_MATCH,,,0,,
1106,C. FINCA LES LLERES,VINOS POR COPAS,False,True,MATCH,272872,Finca Les Lleres,100.0,FUZZY,token_similarity
1107,C. LA RASPA TINTO,VINOS POR COPAS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,14.3,FUZZY,token_similarity
1110,B. ARENISCA LOS PILONES,VINOS,False,True,NO_MATCH,,,0,,
1111,C. ABAD DOM BUENO GODELLO ESENCIA,VINOS POR COPAS,False,True,MATCH,272845,Abad Dom Bueno Godello Esencia,100.0,FUZZY,token_similarity
1112,C. TARIMA HILL,VINOS POR COPAS,False,True,NO_MATCH,287303,Tarima Hill Blanco,66.7,FUZZY,token_similarity
1114,B. VOLVER SINGLE VINEYARD MAGNUM,VINOS,False,True,NO_MATCH,277138,Single Vineyard,50.0,FUZZY,token_similarity
1115,C. ARENISCA LOS PILONES,VINOS POR COPAS,False,True,NO_MATCH,,,0,,
1116,C. MARIA MERENS GODELLO,VINOS POR COPAS,False,True,NO_MATCH,272847,Abalón Godello,25.0,FUZZY,token_similarity
1118,B. SAN SALVADOR GODELLO MAGNUM,VINOS,False,True,NO_MATCH,272891,San Salvador,50.0,FUZZY,token_similarity
1177139,C. ALPHA ESTATE MALAGOUZIA TURTLES VINEYARD,VINOS POR COPAS,False,True,NO_MATCH,277138,Single Vineyard,16.7,FUZZY,token_similarity
1177140,C. CHAVY-CHOUET LES FEMELOTTES BOURGOGNE BLANC,VINOS POR COPAS,False,True,NO_MATCH,277143,Biu Blanc,14.3,FUZZY,token_similarity
1177141,C. CROCODILE´S LAIR KAAIMANSGAT CHARDONNAY,VINOS POR COPAS,False,True,NO_MATCH,275753,Château Cristi Chardonnay,16.7,FUZZY,token_similarity
