id,name,type,format,price,status,score,method,agora_id,agora_name,agora_family,duplicates
264491,Abadal 3.9,tinto,bottle,65.0,MATCH,100,EXACT,764491,B Abadal 3.9,TINTOS WINERIM,0
264493,Gran Claustro,tinto,bottle,140.0,MATCH,100,EXACT,764493,B Gran Claustro,TINTOS WINERIM,0
264494,Finca Malaveïna,tinto,bottle,55.0,MATCH,100,EXACT,764494,B Finca Malaveïna,TINTOS WINERIM,0
264496,Llavors Negre,tinto,bottle,26.5,MATCH,100,EXACT,764496,B Llavors Negre,TINTOS WINERIM,0
264497,Perafita,tinto,bottle,32.0,MATCH,100,EXACT,764497,B Perafita,TINTOS WINERIM,0
264498,Vinya Selva de Mar,tinto,bottle,55.0,MATCH,100,EXACT,764498,B Vinya Selva de Mar,TINTOS WINERIM,0
264499,Coma Bruna,tinto,bottle,24.5,MATCH,100,EXACT,764499,B Coma Bruna,TINTOS WINERIM,0
264500,Orbus,tinto,bottle,27.0,MATCH,100,EXACT,764500,B Orbus,TINTOS WINERIM,0
264501,Remelluri Reserva,tinto,bottle,65.0,MATCH,100,EXACT,764501,B Remelluri Reserva,TINTOS WINERIM,0
264502,Remírez de Ganuza Reserva,tinto,bottle,88.0,MATCH,100,EXACT,764502,B Remírez de Ganuza Reserva,TINTOS WINERIM,0
264505,Luis Cañas Crianza,tinto,bottle,25.0,MATCH,100,EXACT,764505,B Luis Cañas Crianza,TINTOS WINERIM,0
264506,Marqués de Riscal Reserva,tinto,bottle,38.5,MATCH,100,EXACT,764506,B Marqués de Riscal Reserva,TINTOS WINERIM,0
264507,Viña Ardanza Reserva,tinto,bottle,75.0,MATCH,100,EXACT,764507,B Viña Ardanza Reserva,TINTOS WINERIM,0
264510,Viña Pomal,tinto,bottle,32.0,MATCH,100,EXACT,764510,B Viña Pomal,TINTOS WINERIM,0
264511,Contino Reserva,tinto,bottle,42.5,MATCH,100,EXACT,764511,B Contino Reserva,TINTOS WINERIM,0
264516,Muga Crianza,tinto,bottle,32.0,MATCH,100,EXACT,764516,B Muga Crianza,TINTOS WINERIM,0
264518,Dalmau,tinto,bottle,110.0,MATCH,100,EXACT,764518,B Dalmau,TINTOS WINERIM,0
264521,La Vicalanda Reserva,tinto,bottle,150.0,MATCH,100,EXACT,764521,B La Vicalanda Reserva,TINTOS WINERIM,0
264522,Viña Alberdi,tinto,bottle,28.0,MATCH,100,EXACT,764522,B Viña Alberdi,TINTOS WINERIM,0
264524,Propiedad,tinto,bottle,42.5,MATCH,100,EXACT,764524,B Propiedad,TINTOS WINERIM,0
264526,Protos Reserva,tinto,bottle,42.5,MATCH,100,EXACT,764526,B Protos Reserva,TINTOS WINERIM,0
264527,Protos,tinto,bottle,32.5,MATCH,100,EXACT,764527,B Protos,TINTOS WINERIM,0
264529,Emilio Moro,tinto,bottle,38.0,MATCH,100,EXACT,764529,B Emilio Moro,TINTOS WINERIM,0
264531,Hacienda Monasterio Reserva,tinto,bottle,75.0,MATCH,100,EXACT,764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,0
264532,Pago de Carraovejas,tinto,bottle,38.0,MATCH,100,EXACT,764532,B Pago de Carraovejas,TINTOS WINERIM,0
264543,PSI,tinto,bottle,75.0,MATCH,100,EXACT,764543,B PSI,TINTOS WINERIM,0
264544,PSI,tinto,magnum,68.0,MATCH,100,EXACT,1164544,M PSI,MAGNUM WINERIM,0
264545,Ferratus,tinto,bottle,70.0,MATCH,100,EXACT,764545,B Ferratus,TINTOS WINERIM,0
264547,Finca Resalso,tinto,bottle,27.5,MATCH,100,EXACT,764547,B Finca Resalso,TINTOS WINERIM,0
264598,Mas Comtal Rosat de Llàgrima,rosado,bottle,19.5,MATCH,100,EXACT,764598,B Mas Comtal Rosat de Llàgrima,ROSADOS WINERIM,0
264599,Portell Rosat Trepat,rosado,bottle,14.5,MATCH,100,EXACT,764599,B Portell Rosat Trepat,ROSADOS WINERIM,0
264600,Bàrbara Forés Rosat,rosado,bottle,19.0,MATCH,100,EXACT,764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,0
264603,La Rosa,rosado,bottle,23.5,MATCH,100,EXACT,764603,B La Rosa,ROSADOS WINERIM,0
264605,Honeymoon,blanco,bottle,19.5,MATCH,100,EXACT,764605,B Honeymoon,BLANCOS WINERIM,0
264606,Parés Baltà Amphora Brisat,blanco,bottle,28.5,MATCH,100,EXACT,764606,B Parés Baltà Amphora Brisat,BLANCOS WINERIM,0
264607,Parés Baltà Amphora Roja,blanco,bottle,28.5,MATCH,100,EXACT,764607,B Parés Baltà Amphora Roja,BLANCOS WINERIM,0
264608,Ginesta,blanco,bottle,22.5,MATCH,100,EXACT,764608,B Ginesta,BLANCOS WINERIM,0
264609,Satèl·lit,blanco,bottle,23.9,MATCH,100,EXACT,764609,B Satèl·lit,BLANCOS WINERIM,0
264611,Mas Escorpí,blanco,bottle,25.0,MATCH,100,EXACT,764611,B Mas Escorpí,BLANCOS WINERIM,0
264616,Il·lusió,blanco,bottle,26.5,MATCH,100,EXACT,764616,B Il·lusió,BLANCOS WINERIM,0
264622,El Quintà Fermentat en Bota,blanco,bottle,29.5,MATCH,100,EXACT,764622,B El Quintà Fermentat en Bota,BLANCOS WINERIM,0
264625,SO Can Roda Pansa Blanca,blanco,bottle,19.5,MATCH,100,EXACT,764625,B SO Can Roda Pansa Blanca,BLANCOS WINERIM,0
264627,Can Bas D'Origen P5 Muscat,blanco,bottle,21.5,MATCH,100,EXACT,764627,B Can Bas D'Origen P5 Muscat,BLANCOS WINERIM,0
264630,Perafita Picapoll Oxidat,blanco,bottle,13.0,MATCH,100,EXACT,764630,B Perafita Picapoll Oxidat,BLANCOS WINERIM,0
264631,Carrasviñas Verdejo,blanco,bottle,18.5,MATCH,100,EXACT,764631,B Carrasviñas Verdejo,BLANCOS WINERIM,0
264633,Ramón Do Casar Treixadura,blanco,bottle,25.4,MATCH,100,EXACT,764633,B Ramón Do Casar Treixadura,BLANCOS WINERIM,0
264639,Raventós i Blanc de Nit,espumoso,bottle,24.5,MATCH,100,EXACT,764639,B Raventós i Blanc de Nit,ESPUMOSOS WINERIM,0
264642,Serral del Vell,espumoso,bottle,56.0,MATCH,100,EXACT,764642,B Serral del Vell,ESPUMOSOS WINERIM,0
264643,Terrers Brut Nature Gran Reserva,espumoso,bottle,35.7,MATCH,100,EXACT,764643,B Terrers Brut Nature Gran Reserva,ESPUMOSOS WINERIM,0
264645,Sumarroca Brut Nature Gran Reserva,espumoso,bottle,18.5,MATCH,100,EXACT,764645,B Sumarroca Brut Nature Gran Reserva,ESPUMOSOS WINERIM,0
264646,Pere Ventura Reserva Brut,espumoso,bottle,18.5,MATCH,100,EXACT,764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,0
264651,Gramona Imperial Brut,espumoso,bottle,34.5,MATCH,100,EXACT,764651,B Gramona Imperial Brut,ESPUMOSOS WINERIM,0
264654,Bocchoris Brut Nature,espumoso,bottle,13.5,MATCH,100,EXACT,764654,B Bocchoris Brut Nature,ESPUMOSOS WINERIM,0
265102,La Trucha Blanco,blanco,bottle,24.5,MATCH,100,EXACT,765102,B La Trucha Blanco,BLANCOS WINERIM,0
265200,Notes de Negre,tinto,bottle,23.5,MATCH,100,EXACT,765200,B Notes de Negre,TINTOS WINERIM,0
265206,Notes De Blanc,blanco,bottle,23.5,MATCH,100,EXACT,765206,B Notes De Blanc,BLANCOS WINERIM,0
265229,Sindicat la Figuera Rosat,rosado,bottle,21.0,MATCH,100,EXACT,765229,B Sindicat la Figuera Rosat,ROSADOS WINERIM,0
265230,Sindicat La Figuera,tinto,bottle,21.5,MATCH,100,EXACT,765230,B Sindicat La Figuera,TINTOS WINERIM,0
265240,Casar de Burbia Godello,blanco,bottle,18.4,MATCH,100,EXACT,765240,B Casar de Burbia Godello,BLANCOS WINERIM,0
265250,Fenomenal Sauvignon Blanc,blanco,bottle,18.5,MATCH,100,EXACT,765250,B Fenomenal Sauvignon Blanc,BLANCOS WINERIM,0
265279,Algars Rosat,rosado,bottle,13.5,MATCH,100,EXACT,765279,B Algars Rosat,ROSADOS WINERIM,0
265280,Algars Blanc,blanco,bottle,13.5,MATCH,100,EXACT,765280,B Algars Blanc,BLANCOS WINERIM,0
265281,Algars Negre,tinto,bottle,13.5,MATCH,100,EXACT,765281,B Algars Negre,TINTOS WINERIM,0
265286,El Templari,tinto,bottle,29.5,MATCH,100,EXACT,765286,B El Templari,TINTOS WINERIM,0
265293,Hito,tinto,bottle,25.5,MATCH,100,EXACT,765293,B Hito,TINTOS WINERIM,0
265294,Sierra Cantabria Crianza,tinto,bottle,28.5,MATCH,100,EXACT,765294,B Sierra Cantabria Crianza,TINTOS WINERIM,0
265300,Parvus Chardonnay,blanco,bottle,23.7,MATCH,100,EXACT,765300,B Parvus Chardonnay,BLANCOS WINERIM,0
265632,Perinet Vinya Mas Vell,tinto,bottle,50.0,MATCH,100,EXACT,765632,B Perinet Vinya Mas Vell,TINTOS WINERIM,0
265634,Amadis,tinto,bottle,130.0,MATCH,100,EXACT,763403,B Amadis,TINTOS WINERIM,0
265640,Martinet Bru,tinto,bottle,45.3,MATCH,100,EXACT,763395,B Martinet Bru,TINTOS WINERIM,0
265642,Scala Dei Negre,tinto,bottle,55.0,MATCH,100,EXACT,763396,B Scala Dei Negre,TINTOS WINERIM,0
265643,Ònix Clàssic,tinto,bottle,85.0,MATCH,100,EXACT,763402,B Ònix Clàssic,TINTOS WINERIM,0
265648,L'Ermita Velles Vinyes,tinto,bottle,1400.0,MATCH,100,EXACT,763405,B L'Ermita Velles Vinyes,TINTOS WINERIM,0
265650,Clos Mogador,tinto,bottle,350.0,MATCH,100,EXACT,763397,B Clos Mogador,TINTOS WINERIM,0
265654,Solanes,tinto,bottle,200.0,MATCH,100,EXACT,765654,B Solanes,TINTOS WINERIM,0
265655,Les Terrasses,tinto,bottle,90.0,MATCH,100,EXACT,763400,B Les Terrasses,TINTOS WINERIM,0
265658,Peraj Ha'abib,tinto,bottle,75.0,MATCH,100,EXACT,765658,B Peraj Ha'abib,TINTOS WINERIM,0
267217,Perinet Vinya Mas Vell,tinto,bottle,38.5,MATCH,100,EXACT,765632,B Perinet Vinya Mas Vell,TINTOS WINERIM,0
267227,Bàrbara Forés Negre,tinto,bottle,26.0,MATCH,100,EXACT,763387,B Bàrbara Forés Negre,TINTOS WINERIM,0
267233,Coma d'En Pou,tinto,bottle,42.0,MATCH,100,EXACT,767233,B Coma d'En Pou,TINTOS WINERIM,0
267286,Les Tallades,tinto,bottle,72.5,MATCH,100,EXACT,767286,B Les Tallades,TINTOS WINERIM,0
267291,Venus,tinto,bottle,120.0,MATCH,100,EXACT,763620,B Venus,TINTOS WINERIM,0
267298,El Gos Garnatxa Negre,tinto,bottle,24.0,MATCH,100,EXACT,767298,B El Gos Garnatxa Negre,TINTOS WINERIM,0
269660,Finca Malaveïna 2013,tinto,bottle,30.0,MATCH,100,EXACT,769660,B Finca Malaveïna 2013,TINTOS WINERIM,0
269682,Vinya Le Havre,tinto,bottle,150.0,MATCH,100,EXACT,763643,B Vinya Le Havre,TINTOS WINERIM,0
269686,Serres Velles Garnatxa Negra,tinto,bottle,42.0,MATCH,100,EXACT,769686,B Serres Velles Garnatxa Negra,TINTOS WINERIM,0
269689,Black,tinto,bottle,26.0,MATCH,100,EXACT,763636,B Black,TINTOS WINERIM,0
269692,Can Feixes Negre Tradició,tinto,bottle,90.0,MATCH,100,EXACT,763642,B Can Feixes Negre Tradició,TINTOS WINERIM,0
269695,Isabel Negra,tinto,bottle,140.0,MATCH,100,EXACT,763649,B Isabel Negra,TINTOS WINERIM,0
269696,Selección Especial Masía Freye,tinto,bottle,80.0,MATCH,100,EXACT,769696,B Selección Especial Masía Freye,TINTOS WINERIM,0
269697,Abadal 5 Merlot,tinto,bottle,45.0,MATCH,100,EXACT,769697,B Abadal 5 Merlot,TINTOS WINERIM,0
269699,Cristiari d’Alòs,tinto,bottle,35.0,MATCH,100,EXACT,763655,B Cristiari d’Alòs,TINTOS WINERIM,0
269701,Cérvoles Garnatxa de Cérvoles Vinyes Altes de Les Garrigues,tinto,bottle,45.0,MATCH,100,EXACT,769701,B Cérvoles Garnatxa de Cérvoles Vinyes Altes de Les Garrigues,TINTOS WINERIM,0
269702,Saó Abrivat,tinto,bottle,25.0,MATCH,100,EXACT,763657,B Saó Abrivat,TINTOS WINERIM,0
269705,PSI,tinto,bottle,75.0,MATCH,100,EXACT,764543,B PSI,TINTOS WINERIM,0
269706,Pesquera Crianza,tinto,bottle,37.0,MATCH,100,EXACT,769706,B Pesquera Crianza,TINTOS WINERIM,0
269707,Valdubón Reserva,tinto,bottle,85.0,MATCH,100,EXACT,769707,B Valdubón Reserva,TINTOS WINERIM,0
269708,Ferratus,tinto,bottle,45.0,MATCH,100,EXACT,764545,B Ferratus,TINTOS WINERIM,0
