agora_id,name,family,saleable,direct,family_show_in_pos
764502,B Remírez de Ganuza Reserva,TINTOS WINERIM,True,False,True
764505,B Luis Cañas Crianza,TINTOS WINERIM,True,False,True
764506,B Marqués de Riscal Reserva,TINTOS WINERIM,True,False,True
764507,B Viña Ardanza Reserva,TINTOS WINERIM,True,False,True
764510,B Viña Pomal,TINTOS WINERIM,True,False,True
764511,B Contino Reserva,TINTOS WINERIM,True,False,True
764516,B Muga Crianza,TINTOS WINERIM,True,False,True
764518,B Dalmau,TINTOS WINERIM,True,False,True
764521,B La Vicalanda Reserva,TINTOS WINERIM,True,False,True
764522,B Viña Alberdi,TINTOS WINERIM,True,False,True
764524,B Propiedad,TINTOS WINERIM,True,False,True
764526,B Protos Reserva,TINTOS WINERIM,True,False,True
764527,B Protos,TINTOS WINERIM,True,False,True
764529,B Emilio Moro,TINTOS WINERIM,True,False,True
764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,True,False,True
764532,B Pago de Carraovejas,TINTOS WINERIM,True,False,True
764543,B PSI,TINTOS WINERIM,True,False,True
764545,B Ferratus,TINTOS WINERIM,True,False,True
764547,B Finca Resalso,TINTOS WINERIM,True,False,True
765200,B Notes de Negre,TINTOS WINERIM,True,False,True
765230,B Sindicat La Figuera,TINTOS WINERIM,True,False,True
765281,B Algars Negre,TINTOS WINERIM,True,False,True
765286,B El Templari,TINTOS WINERIM,True,False,True
765293,B Hito,TINTOS WINERIM,True,False,True
765294,B Sierra Cantabria Crianza,TINTOS WINERIM,True,False,True
765632,B Perinet Vinya Mas Vell,TINTOS WINERIM,True,False,True
765634,B Amadis 634,TINTOS WINERIM,True,False,True
765640,B Martinet Bru 640,TINTOS WINERIM,True,False,True
765642,B Scala Dei Negre 642,TINTOS WINERIM,True,False,True
765643,B Ònix Clàssic 643,TINTOS WINERIM,True,False,True
765648,B L'Ermita Velles Vinyes 648,TINTOS WINERIM,True,False,True
765650,B Clos Mogador 650,TINTOS WINERIM,True,False,True
765654,B Solanes,TINTOS WINERIM,True,False,True
765655,B Les Terrasses 655,TINTOS WINERIM,True,False,True
765658,B Peraj Ha'abib,TINTOS WINERIM,True,False,True
767217,B Perinet Vinya Mas Vell 217,TINTOS WINERIM,True,False,True
767227,B Bàrbara Forés Negre 227,TINTOS WINERIM,True,False,True
767233,B Coma d'En Pou,TINTOS WINERIM,True,False,True
767286,B Les Tallades,TINTOS WINERIM,True,False,True
767291,B Venus  291,TINTOS WINERIM,True,False,True
767298,B El Gos Garnatxa Negre,TINTOS WINERIM,True,False,True
769660,B Finca Malaveïna 2013,TINTOS WINERIM,True,False,True
769682,B Vinya Le Havre 682,TINTOS WINERIM,True,False,True
769686,B Serres Velles Garnatxa Negra,TINTOS WINERIM,True,False,True
769689,B Black 689,TINTOS WINERIM,True,False,True
769692,B Can Feixes Negre Tradició 692,TINTOS WINERIM,True,False,True
769695,B Isabel Negra 695,TINTOS WINERIM,True,False,True
769696,B Selección Especial Masía Freye,TINTOS WINERIM,True,False,True
769697,B Abadal 5 Merlot,TINTOS WINERIM,True,False,True
769699,B Cristiari d’Alòs 699,TINTOS WINERIM,True,False,True
769701,B Cérvoles Garnatxa de Cérvoles Vinyes Altes de Les Garrigues,TINTOS WINERIM,True,False,True
769702,B Saó Abrivat 702,TINTOS WINERIM,True,False,True
769705,B PSI 705,TINTOS WINERIM,True,False,True
769706,B Pesquera Crianza,TINTOS WINERIM,True,False,True
