winerim_agora_id,winerim_product_name,winerim_family,status,score,method,legacy_agora_id,legacy_name,legacy_family,duplicates
763642,B Can Feixes Negre Tradició,TINTOS WINERIM,MATCH,92,CONTAINS,67,CAN FEIXES,PENEDES,0
769692,B Can Feixes Negre Tradició 692,TINTOS WINERIM,MATCH,92,CONTAINS,67,CAN FEIXES,PENEDES,0
763413,B Celler Cal Pla Mas d'en Compte,TINTOS WINERIM,NO_MATCH,64,FUZZY,23,MAS D'EN COMTE,PRIORAT,0
763394,B Cims de Porrera Clàssic,TINTOS WINERIM,MATCH,100,EXACT,5,CIMS DE PORRERA CLASSIC,PRIORAT,0
763406,B Clos Martinet,TINTOS WINERIM,MATCH,100,EXACT,16,CLOS MARTINET,PRIORAT,0
763397,B Clos Mogador,TINTOS WINERIM,MATCH,100,EXACT,8,CLOS MOGADOR,PRIORAT,0
765650,B Clos Mogador 650,TINTOS WINERIM,MATCH,92,CONTAINS,8,CLOS MOGADOR,PRIORAT,0
764499,B Coma Bruna,TINTOS WINERIM,NO_MATCH,69,FUZZY,101,ESPELT COMABRUNA,EMPORDA COSTA BRAVA,0
767233,B Coma d'En Pou,TINTOS WINERIM,REVIEW,80,FUZZY,228,MAS D'EN POL,VI BLANC,0
764511,B Contino Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,119,CONTINO,RIOJA,0
763655,B Cristiari d’Alòs,TINTOS WINERIM,MATCH,93,FUZZY,84,CRISTIARI ALOS,COSTERS SEGRE,0
769699,B Cristiari d’Alòs 699,TINTOS WINERIM,REVIEW,82,FUZZY,84,CRISTIARI ALOS,COSTERS SEGRE,0
769701,B Cérvoles Garnatxa de Cérvoles Vinyes Altes de Les Garrigues,TINTOS WINERIM,MATCH,92,CONTAINS,241,CERVOLES,VI BLANC,0
764518,B Dalmau,TINTOS WINERIM,MATCH,100,EXACT,126,DALMAU,RIOJA,0
763418,B Destí,TINTOS WINERIM,MATCH,92,CONTAINS,27,DESTI MERUM PRIORATI,PRIORAT,0
763602,B Dido Negre,TINTOS WINERIM,NO_MATCH,61,FUZZY,50,PORTELL NEGRE,CONCA DE BARBERA,0
767298,B El Gos Garnatxa Negre,TINTOS WINERIM,NO_MATCH,0,,,,,0
763601,B El Pispa,TINTOS WINERIM,MATCH,100,EXACT,38,EL PISPA,MONTSANT,0
765286,B El Templari,TINTOS WINERIM,MATCH,100,EXACT,55,EL TEMPLARI,TERRA ALTA,0
764529,B Emilio Moro,TINTOS WINERIM,MATCH,100,EXACT,137,EMILIO MORO,RIBERA DUERO,0
764545,B Ferratus,TINTOS WINERIM,MATCH,100,EXACT,155,FERRATUS,RIBERA DUERO,0
769708,B Ferratus 708,TINTOS WINERIM,MATCH,92,CONTAINS,155,FERRATUS,RIBERA DUERO,0
763399,B Finca Dofí,TINTOS WINERIM,NO_MATCH,61,FUZZY,120,VIÑA TONDONIA,RIOJA,0
763635,B Finca La Milana,TINTOS WINERIM,MATCH,92,CONTAINS,60,LA MILANA,PENEDES,0
769722,B Finca La Montesa,TINTOS WINERIM,NO_MATCH,65,FUZZY,96,FINCA MALAVEINA,EMPORDA COSTA BRAVA,0
764494,B Finca Malaveïna,TINTOS WINERIM,MATCH,100,EXACT,96,FINCA MALAVEINA,EMPORDA COSTA BRAVA,0
769660,B Finca Malaveïna 2013,TINTOS WINERIM,MATCH,92,CONTAINS,96,FINCA MALAVEINA,EMPORDA COSTA BRAVA,0
764547,B Finca Resalso,TINTOS WINERIM,MATCH,100,EXACT,157,FINCA RESALSO,RIBERA DUERO,0
782807,B Garnatxa - Hisenda Miret,TINTOS WINERIM,MATCH,92,CONTAINS,79,HISENDA MIRET,PENEDES,0
782808,B Garnatxa - Hisenda Miret 808,TINTOS WINERIM,MATCH,92,CONTAINS,79,HISENDA MIRET,PENEDES,0
763641,B Gran Caus,TINTOS WINERIM,MATCH,100,EXACT,66,GRAN CAUS,PENEDES,0
764493,B Gran Claustro,TINTOS WINERIM,MATCH,100,EXACT,95,GRAN CLAUSTRO,EMPORDA COSTA BRAVA,0
763398,B Gran Clos,TINTOS WINERIM,MATCH,100,EXACT,9,GRAN CLOS,PRIORAT,0
769729,B Gran Reserva 904,TINTOS WINERIM,NO_MATCH,63,FUZZY,258,ROVELLATS GRAN RESERVA,CAVA,0
764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,141,HACIENDA MONASTERIO,RIBERA DUERO,0
769714,B Hacienda Monasterio Reserva 714,TINTOS WINERIM,MATCH,92,CONTAINS,141,HACIENDA MONASTERIO,RIBERA DUERO,0
765293,B Hito,TINTOS WINERIM,MATCH,100,EXACT,493,Hito,RIBERA DUERO,0
763416,B Inici,TINTOS WINERIM,MATCH,92,CONTAINS,26,INICI MERUM PRIORATI,PRIORAT,0
763649,B Isabel Negra,TINTOS WINERIM,MATCH,100,EXACT,76,ISABEL NEGRA,PENEDES,0
769695,B Isabel Negra 695,TINTOS WINERIM,MATCH,92,CONTAINS,76,ISABEL NEGRA,PENEDES,0
763405,B L'Ermita Velles Vinyes,TINTOS WINERIM,MATCH,92,CONTAINS,15,L'ERMITA,PRIORAT,0
765648,B L'Ermita Velles Vinyes 648,TINTOS WINERIM,MATCH,92,CONTAINS,15,L'ERMITA,PRIORAT,0
763625,B La Cuca de Llum,TINTOS WINERIM,MATCH,92,CONTAINS,46,CUCA DE LLUM,CONCA DE BARBERA,0
